Date(Sub-Obj),Subject, Object, Talked First, Turn Dur, Turn Dur SD, F0 Min, F0 Min SD, F0 Max, F0 Max SD, F0 Mean, F0 Mean SD, F0 SD, F0 SD SD, Pitch Range, Pitch Range SD, RMS Min, RMS Min SD, RMS Max, RMS Max SD, RMS Mean, RMS Mean SD
306-335,306,335,0,0.694,-0.328,-1.763,-1.951,-1.033,-1.414,-1.87,-2.177,-0.699,-2.034,-0.683,-1.629,-1.292,-0.839,-0.478,0.24,-1.566,-0.102
317-328,317,328,1,-1.041,-1.089,-0.468,-0.091,-1.212,-0.218,-0.973,-0.342,-1.149,0.195,-1.305,-0.118,-1.215,1.993,-0.185,1.785,-0.741,1.4
218-222,218,222,1,0.184,-0.169,-0.499,-0.333,-0.927,-0.689,-0.901,-0.821,-1.26,-0.954,-0.954,-0.902,-1.299,2.391,0.416,0.461,-0.204,0.411
211-240,211,240,0,0.869,0.918,-1.37,-0.844,-0.921,-0.689,-1.253,-1.522,-0.799,-0.252,-0.673,-0.679,-1.073,2.679,-1.392,2.059,-1.733,2.118
206-221,206,221,0,0.822,0.283,-0.896,-0.092,-1.112,-0.836,-0.893,-1.021,-1.572,-1.692,-1.051,-0.724,-1.62,0.94,-0.383,0.998,-1.078,0.811
214-226,214,226,0,-0.959,-1.024,-0.648,0.366,-0.91,-1.143,-0.319,-0.913,-0.874,-1.387,-0.887,-0.918,0.181,-0.709,0.928,-0.183,0.761,-0.127
113-132,113,132,0,0.434,0.382,-1.383,-0.794,-0.807,-1.221,-0.827,-1.263,-0.202,-1.253,-0.532,-1.364,-0.73,0.14,0.442,0.074,-0.06,0.545
220-234,220,234,0,-1.151,-0.115,-0.494,0.092,-0.599,-1.07,-0.444,-0.774,0.038,-0.759,-0.563,-0.865,0.287,-0.133,0.788,-0.231,0.586,-0.055
114-121,114,121,0,-0.749,-1.043,-0.681,-0.329,-0.971,-0.717,-0.832,-0.507,-0.98,-0.777,-0.95,-0.745,-0.923,-0.782,1.186,-0.792,0.543,-0.238
114-123,114,123,0,0.427,2.186,-0.042,1.003,-0.906,-0.81,-0.669,0.799,-0.939,-0.49,-1.073,-0.833,-0.412,-1.002,0.586,0.89,0.326,0.566
114-122,114,122,0,0.022,0.21,-0.745,-0.446,-0.828,-1.3,-0.968,-1.361,-0.561,-0.864,-0.758,-1.187,-0.892,-1.006,0.736,0.385,-0.091,0.362
114-125,114,125,0,0.7,1.73,-1.036,-1.086,-1.135,-0.756,-1.317,-0.892,-0.751,-0.719,-1.034,-1.027,-0.971,-0.144,0.849,-0.479,-0.099,-0.204
114-124,114,124,1,0.039,0.278,-1.066,-0.479,-1.215,-0.874,-1.266,-1.534,-0.955,-0.864,-1.121,-0.729,-0.709,-1.013,0.063,0.571,-0.753,0.203
114-127,114,127,0,-1.404,-1.241,-0.369,1.074,-0.801,-1.104,-0.436,-0.507,-0.42,-0.626,-0.844,-0.74,-0.647,3.359,-0.032,0.814,-0.448,0.956
110-133,110,133,0,-0.831,-0.664,-0.952,-0.084,-1.253,-0.038,-1.205,-1.252,-0.931,0.382,-1.202,0.284,0.171,1.619,-0.274,0.595,-0.218,0.802
114-129,114,129,0,-0.692,-0.455,-0.972,-0.766,-0.727,-1.29,-0.763,-0.786,-0.209,-1.218,-0.565,-1.469,-0.748,-0.021,0.68,0.008,0.157,0.055
114-128,114,128,0,-0.882,-1.144,-0.959,-0.531,-1.049,-0.549,-1.081,-0.693,-0.746,-0.427,-0.955,-0.684,-0.683,-0.856,0.306,0.513,-0.262,0.434
110-137,110,137,0,-1.53,-1.38,-0.486,0.117,-1.235,-0.217,-1.248,-0.552,-1.058,0.153,-1.327,-0.187,-0.444,3.289,-0.817,2.305,-0.669,2.49
310-332,310,332,0,0.02,-0.41,-1.613,-0.741,-0.825,-1.208,-1.251,-0.511,0.153,-1.252,-0.482,-1.495,-0.87,-0.324,-1.801,1.436,-1.943,0.72
110-134,110,134,0,0.306,-0.104,-1.369,-0.605,-0.827,-0.808,-0.968,-0.788,-0.569,-1.14,-0.56,-0.75,-0.298,0.483,-0.11,0.053,-0.611,-0.113
310-333,310,333,0,-0.381,-0.842,-1.337,0.338,-0.809,-0.719,-1.12,0.284,-0.215,-0.192,-0.548,-0.676,-1.322,-0.511,-1.313,1.44,-1.599,1.312
211-229,211,229,0,1.558,0.538,-1.367,0.086,-0.798,-1.343,-0.929,-0.913,-1.175,-0.843,-0.526,-1.177,-0.28,0.35,0.652,0.29,0.327,0.799
217-240,217,240,0,1.996,1.862,-1.141,-0.405,-0.656,-1.198,-0.39,-1.512,-0.698,-1.626,-0.427,-1.096,-0.696,-0.369,1.24,-1.015,0.752,-0.243
211-236,211,236,0,0.328,0.589,-0.842,0.074,-1.116,-0.94,-1.065,-1.354,-1.388,-1.204,-1.073,-0.984,-0.391,-1.118,-0.599,1.267,-0.852,0.667
211-235,211,235,0,-0.664,-0.782,-0.696,-0.236,-1.125,-0.732,-1.018,-1.371,-1.365,-0.495,-1.129,-0.799,-0.112,-1.374,0.09,1.157,-0.119,1.058
211-234,211,234,0,0.005,-0.345,-0.979,0.619,-0.608,-1.163,-0.852,-0.575,-0.592,-0.381,-0.421,-0.781,-0.849,3.531,-1.569,2.909,-1.518,2.733
302-333,302,333,1,-0.722,-0.71,-0.215,1.137,-1.228,-0.435,-0.759,-0.511,-1.385,-0.04,-1.404,-0.07,-1.068,-0.08,-1.354,2.438,-1.327,2.356
302-332,302,332,0,-0.021,-0.25,-0.778,0.267,-1.292,-0.599,-1.252,-1.195,-1.73,-1.32,-1.304,-0.407,-0.918,-0.271,-0.031,0.049,-0.427,-0.03
215-240,215,240,0,0.277,-0.332,-1.46,-1.188,-1.318,-0.738,-1.544,-1.581,-1.254,-1.358,-1.121,-0.862,-0.777,-1.374,-0.896,0.796,-1.464,0.305
211-230,211,230,0,0.081,-0.5,-0.44,0.09,-0.587,-1.19,-0.511,-0.188,-0.772,-0.882,-0.565,-1.144,-0.932,2.539,-0.937,1.972,-1.283,1.946
104-135,104,135,0,0.167,0.049,-0.668,1.403,-0.869,-1.107,-0.342,-0.713,-1.217,-1.474,-0.831,-0.774,-0.11,-0.931,0.72,0.127,0.387,0.226
104-137,104,137,1,-1.374,-1.26,0.255,1.425,-0.73,-1.161,-0.101,-0.569,-1.044,-0.853,-0.956,-0.607,-0.475,1.402,0.083,0.525,0.096,1.062
104-136,104,136,0,0.392,-0.371,-1.116,0.306,-0.764,-1.398,-0.355,-1.895,-1.224,-1.253,-0.565,-1.125,-0.129,-0.576,0.897,-0.097,0.68,0.231
104-131,104,131,0,-0.353,-0.721,-0.435,0.429,-0.653,-1.86,0.117,-0.562,-0.801,-1.627,-0.646,-1.682,0.047,-0.306,0.287,0.674,0.218,0.871
104-130,104,130,0,-0.094,-0.325,-0.645,0.714,-0.59,-1.48,-0.044,-0.705,-0.501,-0.906,-0.504,-1.12,-0.109,-0.51,0.165,0.422,-0.154,0.028
211-239,211,239,0,1.453,1.396,-1.384,-0.917,-0.807,-1.0,-1.036,-1.501,-1.061,-1.166,-0.531,-1.414,-0.636,0.289,0.549,0.466,-0.191,1.036
115-139,115,139,0,-0.596,-0.0,0.075,-0.381,-1.385,-0.238,-1.11,-1.312,-1.594,-0.836,-1.684,-0.348,-1.121,0.703,0.144,0.558,-0.041,0.703
206-237,206,237,0,1.239,0.917,-0.862,-0.292,-0.722,-1.191,-0.49,-1.229,-0.789,-0.683,-0.594,-1.156,-0.859,-0.778,-0.013,0.948,-0.635,0.912
213-236,213,236,0,-0.219,0.548,-1.14,-0.214,-0.877,-1.335,-0.847,-1.412,-0.515,-0.513,-0.693,-1.151,-0.486,-0.953,-2.438,0.626,-1.92,-0.09
115-132,115,132,0,0.837,0.636,-0.647,-0.243,-0.664,-1.501,-0.477,-1.455,-0.961,-1.793,-0.592,-1.38,-0.854,-0.214,1.313,-1.15,0.743,0.073
115-131,115,131,0,0.097,0.592,0.03,0.921,-0.965,-0.965,-0.593,-0.095,-1.141,-0.875,-1.166,-0.949,-0.68,-0.802,0.85,-0.336,0.413,-0.101
304-332,304,332,0,0.607,0.282,-1.14,-0.249,-0.872,-1.076,-1.086,-1.587,-0.914,-1.738,-0.686,-0.965,-1.142,-0.181,-0.707,2.042,-1.176,1.449
304-335,304,335,0,-0.52,-0.987,-0.285,-0.032,-0.87,-1.09,-1.082,-1.013,-1.027,-0.307,-0.953,-1.027,-1.613,-0.916,-1.412,0.445,-2.106,0.07
115-136,115,136,0,0.304,0.849,-0.79,0.349,-0.795,-1.447,-0.757,-0.874,-0.511,-0.876,-0.704,-1.297,-1.023,-0.177,0.442,0.223,-0.167,0.53
304-337,304,337,0,-0.607,-0.805,-0.917,0.334,-1.165,-0.196,-0.758,0.122,-0.681,0.61,-1.107,0.025,-1.557,-0.913,-3.802,3.022,-3.093,1.951
118-128,118,128,0,2.282,1.325,-1.492,-1.472,-0.854,-0.733,-1.677,-1.407,-0.716,-0.957,-0.554,-0.918,-0.533,0.142,1.129,-0.455,0.814,0.1
118-131,118,131,0,2.402,1.634,-1.139,-0.093,-0.735,-0.936,-1.054,-1.126,-0.83,-0.669,-0.522,-0.718,-0.966,0.856,0.992,0.259,0.528,1.586
317-329,317,329,1,-0.764,-0.669,-1.317,-0.681,-1.137,-0.472,-1.055,-0.78,-0.916,-0.403,-0.949,-0.588,-1.11,2.086,-0.326,0.682,-0.901,0.778
316-335,316,335,1,0.321,-0.148,-0.937,0.209,-0.923,-0.425,-1.206,-0.219,-0.845,-0.455,-0.811,-0.256,-1.491,2.005,1.009,0.637,0.674,1.248
316-337,316,337,0,-0.114,-0.474,-1.52,-1.428,-0.982,-0.847,-1.282,-0.207,-0.448,-0.608,-0.698,-1.242,-1.223,-0.607,0.954,0.215,-0.012,0.841
113-122,113,122,0,1.097,0.479,-1.21,-1.036,-0.69,-1.2,-1.088,-1.092,-0.112,-1.122,-0.446,-1.217,-0.683,-0.77,0.958,-0.485,0.198,-0.093
106-137,106,137,0,-1.376,-1.254,1.276,1.985,-0.611,-1.246,0.408,0.123,-1.058,-0.337,-1.134,-0.455,-0.454,1.229,0.399,0.227,0.384,0.889
209-234,209,234,0,-1.523,-1.436,-0.679,0.143,-0.75,-1.265,-0.575,-0.97,-0.16,-0.671,-0.685,-1.269,-0.28,-0.108,0.738,0.218,0.189,0.509
106-135,106,135,1,0.148,-0.524,0.183,1.17,-0.809,-1.24,-0.127,-1.153,-1.683,-1.935,-1.027,-1.174,-0.641,1.03,1.03,-0.693,0.604,0.06
106-133,106,133,0,-0.926,-0.755,0.015,1.28,-1.225,-0.77,-0.441,-1.213,-1.761,-1.189,-1.474,-0.269,0.113,-0.79,0.976,-0.34,0.974,-0.141
106-131,106,131,0,0.105,0.617,-0.327,1.161,-0.491,-1.717,0.105,-0.843,-0.812,-1.596,-0.485,-1.1,-0.25,1.638,0.922,-0.244,0.749,0.08
312-333,312,333,0,-0.447,-1.065,-0.682,0.192,-0.959,-0.715,-0.864,-0.576,-0.8,-0.635,-0.935,-0.661,-1.001,-0.265,-1.177,1.219,-1.192,1.12
218-229,218,229,0,0.395,0.188,-0.759,-0.479,-0.761,-0.97,-0.852,-1.402,-1.166,-1.33,-0.674,-1.079,-0.465,-0.745,1.235,-1.014,0.688,-0.515
219-229,219,229,0,-1.006,-1.221,-0.762,0.113,-0.919,-1.379,-0.596,-0.784,-0.676,-1.593,-0.862,-1.504,-0.116,0.597,1.117,-0.513,0.818,0.081
304-325,304,325,0,0.12,-0.238,-0.166,1.045,-1.039,-0.247,-0.941,-0.509,-1.195,0.866,-1.193,0.51,-1.525,-0.933,-2.42,2.548,-2.497,1.773
219-224,219,224,0,-1.693,-1.354,-0.174,0.608,-1.017,-0.765,-0.49,0.487,-0.677,-0.695,-1.164,-0.767,-0.276,0.279,0.6,0.758,0.665,1.264
218-221,218,221,0,1.265,1.576,-0.807,-0.712,-0.725,-1.407,-0.964,-1.255,-0.769,-1.183,-0.615,-1.443,-0.927,0.231,0.576,0.404,-0.121,0.405
203-221,203,221,0,0.363,-0.211,-0.569,0.38,-0.77,-0.788,-0.782,-0.513,-0.923,-0.509,-0.743,-0.798,-0.66,-1.076,0.696,0.683,0.216,0.689
205-222,205,222,0,-0.383,-0.376,-1.089,-0.665,-1.081,-0.304,-1.015,0.108,-0.66,-0.482,-0.953,-0.333,-0.727,-0.761,0.111,0.531,-0.506,0.49
203-222,203,222,0,-0.593,-0.903,-1.073,-0.47,-1.195,-0.647,-1.19,-1.025,-1.341,-1.348,-1.095,-0.926,-0.761,-0.835,0.075,0.39,-0.564,0.097
203-224,203,224,0,-0.886,-0.466,-0.421,0.674,-0.941,-1.112,-0.49,-0.205,-0.542,-0.57,-0.996,-0.885,-0.402,0.577,0.053,0.884,-0.283,0.743
203-226,203,226,0,-0.033,-0.351,-0.448,1.114,-0.856,-0.962,-0.736,-0.282,-1.022,-0.801,-0.885,-0.355,-0.679,-1.375,0.129,0.412,-0.587,0.168
219-236,219,236,0,-0.089,-0.225,-0.886,-0.775,-0.767,-1.182,-0.555,-0.596,-0.454,-1.12,-0.641,-1.293,-0.428,-1.206,1.119,-0.376,0.882,0.469
313-333,313,333,0,-0.835,-1.204,-0.073,0.462,-1.003,-0.755,-0.657,-0.562,-1.39,-0.83,-1.179,-0.64,-1.247,0.421,-0.736,2.053,-1.187,2.189
112-134,112,134,0,-0.138,-0.53,-1.504,-1.052,-0.858,-1.058,-0.825,-1.051,-0.692,-1.201,-0.555,-1.284,-0.419,-0.111,0.479,0.379,-0.053,0.353
106-138,106,138,0,-1.477,-1.013,1.23,1.89,-1.457,-0.732,-0.353,-1.491,-2.334,-1.256,-2.134,0.04,-0.581,1.164,0.05,0.193,0.253,0.361
219-221,219,221,1,-0.586,-0.747,-1.538,-1.301,-1.176,-0.607,-1.092,-0.797,-0.725,-0.95,-0.925,-0.747,-1.06,0.785,-0.666,1.838,-1.383,1.455
207-238,207,238,0,-0.071,0.906,-0.99,0.427,-1.015,-0.899,-0.881,-0.577,-0.985,-1.194,-0.904,-0.986,-0.554,0.429,-0.678,0.631,-1.105,0.341
207-239,207,239,0,-0.193,-0.783,-1.049,-0.36,-0.855,-1.268,-0.858,-1.13,-0.681,-1.206,-0.695,-1.488,-0.901,-1.225,-0.882,0.979,-1.289,0.764
102-137,102,137,0,-0.894,-1.039,-0.912,-0.711,-1.17,-0.328,-1.256,-0.296,-1.199,0.057,-1.115,-0.499,-1.254,3.958,0.585,0.419,0.14,1.291
207-230,207,230,0,-0.696,-0.96,-0.219,0.286,-0.578,-1.026,-0.121,-0.11,-0.206,-0.554,-0.624,-0.891,-1.319,3.199,-2.453,2.509,-2.35,2.433
207-236,207,236,0,0.056,-0.049,-1.074,-0.287,-0.752,-0.937,-0.648,-1.121,-0.73,-0.818,-0.563,-0.92,-0.369,0.642,0.412,0.424,-0.111,0.342
207-237,207,237,0,-1.224,-1.356,-0.498,1.113,-0.75,-1.086,-0.033,0.085,-0.43,-1.152,-0.742,-1.246,-0.295,-0.341,-1.467,1.067,-1.174,0.858
207-234,207,234,0,-1.698,-1.797,-0.559,0.119,-0.847,-0.929,-0.32,-0.651,-0.44,-0.089,-0.84,-0.791,-0.068,-0.195,0.089,0.875,-0.184,1.09
207-235,207,235,0,-0.157,-0.155,-0.879,0.467,-0.747,-0.847,-0.407,-1.29,-0.691,-0.236,-0.618,-0.277,-0.141,0.364,-0.174,1.724,-0.314,1.799
112-138,112,138,0,-0.322,-0.355,-0.506,0.069,-1.016,-1.082,-0.765,-1.691,-0.936,-1.287,-1.059,-0.918,-0.735,-0.45,0.023,0.679,-0.371,1.26
112-139,112,139,0,0.096,0.105,-0.939,-0.626,-0.915,-0.263,-1.092,-0.825,-1.052,-0.572,-0.801,-0.387,-0.773,-1.294,-0.88,1.357,-1.056,0.796
209-230,209,230,0,-0.405,-1.004,-1.049,-0.593,-0.696,-1.2,-0.601,-0.226,-0.512,-0.859,-0.503,-1.291,-0.493,-0.752,0.72,0.632,0.487,1.257
112-130,112,130,0,3.289,2.612,-1.798,-1.173,-0.531,-1.473,-0.736,-1.776,-0.307,-1.242,-0.069,-1.463,-0.816,-1.137,0.58,-0.391,-0.468,-0.152
112-131,112,131,0,1.208,1.034,-1.652,-0.848,-0.63,-1.405,-0.763,-1.872,-0.165,-1.4,-0.235,-1.563,-0.792,0.071,0.43,0.769,-0.146,0.921
112-133,112,133,1,0.524,0.463,-1.172,-0.354,-0.719,-1.272,-0.667,-1.569,-0.263,-1.502,-0.493,-1.516,-0.714,0.225,-0.277,0.671,-0.833,0.337
209-238,209,238,0,-0.364,-0.541,-1.151,-0.888,-0.996,-0.895,-1.092,-0.804,-0.84,-1.055,-0.832,-1.34,-0.407,0.911,1.085,-0.408,0.675,0.43
209-239,209,239,0,0.211,-0.405,-0.837,-0.661,-0.74,-1.057,-0.768,-0.97,-0.79,-0.462,-0.623,-1.095,-0.584,1.574,1.356,-0.343,1.128,0.592
112-136,112,136,1,1.468,0.747,-1.492,-1.012,-0.594,-1.395,-0.682,-1.474,-0.114,-1.898,-0.242,-1.623,-0.525,-0.604,0.404,0.639,-0.253,0.464
112-137,112,137,0,-1.614,-1.442,-0.041,0.429,-0.968,-0.845,-0.629,-0.886,-0.97,-0.675,-1.147,-0.797,-0.254,-0.423,0.704,-0.154,0.74,0.216
318-332,318,332,0,0.157,2.435,-1.368,-0.057,-0.972,-0.912,-1.427,-0.073,-0.205,-0.647,-0.734,-0.962,-1.325,-0.851,-2.702,0.489,-2.499,-0.151
318-333,318,333,0,0.442,1.534,-1.312,-1.42,-1.328,-0.342,-1.688,-1.12,-0.584,-0.3,-1.179,-0.461,-1.305,-0.509,-2.061,0.375,-2.239,-0.023
115-125,115,125,0,1.268,1.12,0.101,2.594,-0.652,-1.859,-0.375,0.256,-0.918,-0.957,-0.814,-1.061,-0.978,1.884,0.484,0.653,0.014,1.236
318-336,318,336,0,-0.519,-0.443,-1.437,-1.78,-1.172,-0.688,-1.385,-0.869,-0.088,-0.587,-0.952,-1.029,-1.916,0.11,-5.194,0.698,-4.104,-0.046
318-337,318,337,1,-0.142,-0.646,-1.631,-1.124,-1.044,-0.995,-1.567,-1.077,-0.457,-0.988,-0.738,-1.186,-1.653,-0.848,-4.181,0.896,-3.473,0.009
318-335,318,335,0,0.254,-0.516,-1.684,-1.784,-1.026,-0.811,-1.746,-1.438,-0.617,-0.382,-0.699,-1.09,-1.671,0.024,-2.241,0.003,-2.465,-0.227
217-239,217,239,0,1.565,1.433,-0.784,0.105,-0.449,-1.499,-0.068,-1.131,-0.415,-1.949,-0.291,-1.457,-0.892,-0.257,1.043,-0.322,0.835,0.085
217-238,217,238,0,0.646,0.76,-1.015,0.734,-0.725,-0.798,-0.339,-0.835,-0.909,-1.456,-0.549,-0.715,-0.638,-0.916,0.627,0.04,0.407,0.682
205-221,205,221,0,0.459,0.426,-1.313,0.113,-0.994,-0.766,-1.503,-0.807,-0.346,-0.091,-0.778,-0.688,-1.008,-0.77,0.547,1.004,-0.252,1.369
312-329,312,329,0,-1.411,-1.05,-0.911,-1.008,-1.181,-0.064,-1.291,-0.521,-0.675,0.411,-1.129,-0.324,-0.739,0.231,-1.083,1.255,-0.778,1.056
205-226,205,226,0,-0.748,-0.745,-0.682,0.686,-0.811,-0.901,-0.716,0.544,-0.223,-0.047,-0.757,-0.657,-0.882,-1.013,-1.551,1.575,-1.658,0.88
205-224,205,224,0,-0.831,0.814,0.388,2.43,-1.144,-0.793,-0.68,1.064,-0.784,0.468,-1.494,-0.309,-0.481,-0.166,-0.951,2.346,-0.773,2.032
217-230,217,230,1,-0.78,-1.273,-0.716,0.6,-0.512,-1.432,0.08,-0.473,-0.116,-1.049,-0.388,-1.492,-0.494,0.727,1.171,-0.41,0.674,0.371
205-229,205,229,0,0.336,-0.13,-1.273,-0.911,-0.801,-1.323,-1.028,-0.418,-0.093,-0.894,-0.559,-1.535,-0.675,-1.794,0.611,0.425,-0.237,0.877
217-235,217,235,0,-0.172,-0.184,0.188,0.458,-0.506,-1.317,0.365,-1.065,-0.67,-1.362,-0.666,-1.012,-0.003,0.68,1.438,-1.28,1.451,-0.211
217-234,217,234,0,-1.84,-1.735,0.44,1.131,-0.738,-1.298,0.171,-0.543,-0.493,-0.971,-1.023,-1.258,0.712,0.714,1.418,-1.318,1.49,-0.035
217-237,217,237,0,0.751,2.263,-0.788,0.513,-0.577,-1.371,0.104,-0.582,-0.599,-1.461,-0.444,-1.116,-0.226,0.769,0.799,0.156,0.802,1.087
217-236,217,236,0,1.165,1.877,-0.635,1.237,-0.336,-1.551,0.246,-0.421,-0.175,-1.485,-0.203,-0.95,-0.191,1.148,0.532,1.298,0.471,1.423
214-236,214,236,0,0.946,2.032,-1.44,-0.765,-0.908,-1.164,-0.462,-1.48,-1.221,-1.535,-0.634,-1.389,-0.196,-0.717,1.385,-1.129,0.96,-0.689
214-237,214,237,0,0.737,1.622,0.013,1.477,-0.954,-1.248,-0.387,-0.081,-1.305,-1.009,-1.148,-0.902,-0.292,-0.166,-0.082,2.029,-0.219,1.43
214-234,214,234,0,-0.609,-0.377,-0.511,0.641,-1.127,-0.708,-0.68,-1.366,-1.262,-0.527,-1.19,-0.389,0.325,-0.151,1.346,-0.963,1.206,-0.217
214-235,214,235,0,-0.298,-0.333,-0.258,0.829,-0.77,-1.299,-0.463,-0.962,-1.087,-1.25,-0.842,-0.917,-0.414,-0.897,1.189,0.124,0.66,0.351
214-230,214,230,0,-0.366,-0.573,-0.74,-0.578,-0.558,-1.395,-0.291,-0.658,-0.206,-0.508,-0.436,-1.45,-0.105,-0.469,0.926,0.206,0.463,0.432
306-333,306,333,0,-1.01,-1.146,-0.595,0.404,-1.088,-0.855,-0.939,0.436,-0.63,-0.197,-1.117,-0.71,-0.876,-0.623,-1.086,1.133,-1.269,1.023
115-138,115,138,0,-0.02,0.071,-0.265,-0.565,-1.322,-0.684,-1.096,-1.171,-1.612,-1.415,-1.501,-0.782,-0.89,-0.662,0.464,0.504,0.304,0.512
312-327,312,327,0,-0.377,-0.288,-1.187,-0.534,-1.155,-0.522,-1.158,-0.749,-0.913,-0.581,-1.01,-0.598,-0.849,0.253,-0.801,0.87,-0.962,0.683
312-328,312,328,1,-0.674,-0.744,-0.768,0.024,-1.038,-0.678,-1.011,-1.009,-0.937,-1.395,-1.003,-0.687,-0.692,0.849,-1.694,0.215,-1.539,-0.031
208-229,208,229,0,-0.15,-0.495,-1.103,-0.835,-1.019,-0.79,-1.183,-1.174,-1.148,-0.282,-0.874,-0.849,-0.89,-0.456,0.723,-0.361,0.015,0.373
208-226,208,226,0,-0.379,-0.355,-0.781,-0.031,-1.087,-0.463,-0.941,-1.136,-1.012,-0.923,-1.057,-0.483,-0.341,-1.322,-0.264,0.722,-0.568,0.438
315-332,315,332,0,0.894,-0.045,-1.337,-1.147,-0.932,-0.902,-1.016,-1.289,-1.294,-2.104,-0.696,-1.048,-0.958,-1.022,1.031,-0.337,0.267,0.505
315-337,315,337,0,-0.549,-0.995,-1.248,-1.39,-1.047,-0.845,-0.912,-0.805,-0.868,-1.008,-0.862,-1.212,-0.938,0.253,-0.095,0.738,-0.702,0.668
315-336,315,336,0,-0.381,-0.615,-1.067,0.072,-0.945,-0.715,-0.908,-0.55,-0.806,-0.605,-0.797,-0.848,-1.196,-0.13,-0.681,1.469,-1.038,1.063
315-335,315,335,0,-0.826,-1.239,-1.069,-0.86,-1.152,-0.817,-1.215,-1.185,-1.016,-0.831,-1.044,-0.982,-1.147,-0.652,-0.426,1.551,-0.985,1.296
208-221,208,221,0,-0.393,-0.563,-1.272,-1.218,-1.186,-0.606,-1.271,-1.158,-1.073,-0.344,-1.021,-0.733,-1.119,-0.203,-1.416,2.151,-1.632,1.475
116-135,116,135,0,1.333,0.23,-1.099,-0.233,-0.797,-0.914,-1.056,-0.9,-0.76,-1.21,-0.609,-1.112,-0.779,0.044,1.15,-0.398,0.586,0.215
116-136,116,136,0,0.506,0.471,-1.23,-0.689,-0.739,-1.661,-0.783,-1.031,-0.411,-1.669,-0.499,-1.687,-0.526,-0.791,1.01,-0.261,0.233,0.064
116-137,116,137,0,-0.977,-1.028,-0.902,-0.62,-0.819,-1.384,-0.878,-1.519,-0.52,-1.36,-0.697,-1.388,-0.414,0.439,1.019,-0.563,0.729,-0.189
116-130,116,130,0,1.175,0.395,-1.403,-0.559,-0.475,-1.573,-0.72,-1.497,-0.518,-1.235,-0.127,-1.308,-0.638,-0.329,1.34,-0.772,0.574,0.144
116-131,116,131,0,0.453,0.183,-1.094,-0.535,-0.715,-1.012,-0.787,-1.247,-0.675,-1.305,-0.513,-0.875,-0.329,1.073,1.267,-0.752,0.832,0.395
217-222,217,222,1,-0.332,-0.645,-0.323,0.059,-0.566,-1.161,-0.142,-0.722,-0.713,-1.263,-0.577,-1.073,-0.718,0.926,0.928,0.11,0.712,0.891
113-135,113,135,0,0.531,1.1,-0.71,0.748,-1.239,-0.546,-0.997,-0.225,-1.15,-0.809,-1.261,-0.108,-0.389,-0.336,0.613,0.089,0.273,0.277
113-134,113,134,0,-0.19,0.215,-0.826,-0.017,-1.047,-1.031,-0.867,-1.222,-0.577,-1.039,-0.995,-0.939,-0.145,-0.15,0.603,-0.072,0.271,0.246
113-137,113,137,0,-0.704,-0.419,-0.813,-0.534,-0.611,-1.566,-0.717,-0.11,-0.089,-1.061,-0.476,-1.699,-0.572,-0.36,0.577,0.411,0.439,0.432
113-136,113,136,0,0.388,0.37,-1.392,-1.159,-0.66,-1.159,-0.881,-0.601,-0.043,-0.56,-0.353,-1.184,-0.577,-0.385,-0.958,0.594,-1.083,0.512
212-235,212,235,0,0.784,0.389,-0.835,-0.198,-0.697,-1.588,-0.83,-1.007,-0.823,-1.002,-0.573,-1.45,-0.907,0.128,0.018,0.864,-0.527,0.697
212-238,212,238,0,0.855,0.788,-1.292,-0.557,-1.004,-1.035,-1.078,-0.905,-1.001,-1.649,-0.796,-0.943,-1.067,-0.735,-0.479,1.036,-1.008,0.947
212-239,212,239,0,2.164,1.493,-0.654,-0.494,-0.966,-0.915,-1.087,-0.668,-1.102,-1.238,-0.952,-0.95,-1.541,1.57,0.132,1.894,-0.917,2.341
104-127,104,127,0,-1.372,-1.37,-0.212,1.281,-1.032,-0.684,-0.368,-0.866,-1.237,-0.821,-1.171,-0.402,0.273,0.79,0.459,0.128,0.485,0.31
309-328,309,328,0,-0.592,-0.467,-0.742,-1.056,-1.425,-0.089,-1.516,-0.901,-1.556,-0.394,-1.475,-0.082,-1.121,0.239,-0.345,1.31,-0.707,1.259
309-323,309,323,0,-0.414,-0.272,-1.039,-0.891,-1.421,-0.281,-1.305,-0.121,-1.356,-0.966,-1.376,-0.27,-1.293,-0.82,-0.251,0.398,-1.038,0.562
309-327,309,327,0,-1.063,-0.952,-0.45,0.072,-1.104,-1.095,-0.968,-0.676,-1.113,-0.746,-1.182,-1.061,-1.009,-0.27,-0.502,0.511,-0.926,0.497
309-326,309,326,0,-0.185,0.44,-0.623,0.596,-1.043,-0.543,-1.012,-0.522,-1.23,-0.795,-1.055,-0.526,-1.166,1.702,-0.312,2.108,-0.74,1.925
309-325,309,325,0,-0.255,-0.643,-0.783,-0.457,-1.441,-0.658,-1.397,-1.552,-1.773,-1.011,-1.481,-0.631,-0.841,-0.695,0.044,0.593,-0.69,0.228
206-240,206,240,0,2.413,1.907,-1.757,-1.215,-0.703,-1.602,-1.002,-1.572,-0.361,-1.499,-0.289,-1.829,-1.335,-2.014,-1.685,2.12,-2.257,0.955
213-239,213,239,0,1.231,1.187,-0.918,0.035,-0.74,-1.118,-1.043,-0.983,-0.719,-1.207,-0.598,-0.827,-1.333,-0.211,-1.015,0.938,-1.806,0.721
